id,title,price,text,tags,created_at,updated_at
85,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut,663.27,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,"mockaroo, script",2020-05-26 00:00:00,2021-08-03 00:00:00
14,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi,530.5,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.","mockaroo, script",2020-05-26 00:00:00,2021-08-03 00:00:00
91,quis orci nullam molestie nibh in lectus pellentesque at nulla,647.47,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.","mockaroo, script",2020-05-26 00:00:00,2021-08-03 00:00:00
63,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,630.05,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.","mockaroo, script",2020-05-26 00:00:00,2021-08-03 00:00:00
58,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,873.72,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,"mockaroo, script",2020-05-26 00:00:00,2021-08-03 00:00:00
15,vulputate ut ultrices vel augue vestibulum ante ipsum primis in,274.0,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.","mockaroo, script",2020-05-26 00:00:00,2021-08-03 00:00:00
84,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl,846.65,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.","mockaroo, script",2020-05-26 00:00:00,2021-08-03 00:00:00
72,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem,901.69,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.","mockaroo, script",2020-05-26 00:00:00,2021-08-03 00:00:00
82,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,321.3,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,"mockaroo, script",2020-05-26 00:00:00,2021-08-03 00:00:00
18,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod,90.33,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.","mockaroo, script",2020-05-26 00:00:00,2021-08-03 00:00:00
